Sample_ID,UMAP_1,UMAP_2,leiden_clusters
TCGA-BH-A18F-01,0.71844864,11.014343,2
TCGA-A7-A13F-11,-3.542943,9.779374,4
TCGA-BH-A0C1-01,0.5236948,12.560104,2
TCGA-A7-A13F-01,3.5027447,13.530344,0
TCGA-E2-A155-01,4.6604505,13.622631,0
TCGA-E2-A14Y-01,3.7236884,6.9936795,3
TCGA-A7-A13E-01,3.9971378,6.3699317,3
TCGA-BH-A1EW-01,2.514023,11.305593,2
TCGA-E2-A15A-06,4.717066,11.509926,1
TCGA-BH-A18K-11,-2.1731262,9.929577,4
TCGA-E2-A15E-01,-1.1327326,11.447205,4
TCGA-AR-A1AW-01,2.996191,13.41321,0
TCGA-BH-A0C3-01,1.0015271,10.6841955,2
TCGA-BH-A0B5-01,0.9787092,12.73742,2
TCGA-BH-A0DO-11,-2.301921,10.455429,4
TCGA-BH-A18K-01,4.178342,6.4346075,3
TCGA-A7-A13D-01,4.0569468,6.9218235,3
TCGA-AR-A1AV-01,2.0583096,8.820935,2
TCGA-C8-A133-01,2.989521,14.818684,0
TCGA-BH-A18T-01,2.385511,12.1485405,0
TCGA-E2-A15I-01,0.66532046,13.429744,0
TCGA-BH-A0BT-01,2.2847178,14.7477665,0
TCGA-C8-A1HI-01,1.6172959,12.91132,0
TCGA-AR-A1AJ-01,2.7460315,7.4629793,3
TCGA-BH-A18R-01,4.6923804,12.218405,0
TCGA-AR-A1AY-01,4.0229,6.289936,3
TCGA-BH-A0DD-01,2.239111,10.88194,2
TCGA-BH-A18Q-01,3.0315008,5.937734,3
TCGA-BH-A0H3-01,2.35028,11.625384,1
TCGA-AR-A1AO-01,1.1015915,9.794051,2
TCGA-BH-A1EW-11,-2.5583587,9.254232,4
TCGA-BH-A0BO-01,0.09638563,10.468571,2
TCGA-BH-A1EO-11,-3.9226975,9.608343,4
TCGA-BH-A18J-11,-2.8848534,9.490824,4
TCGA-BH-A0AZ-01,1.5938313,11.6694355,2
TCGA-BH-A0DV-11,-2.0888681,10.273365,4
TCGA-BH-A0DT-11,-2.4857342,9.431599,4
TCGA-E2-A156-01,2.6192327,14.740214,0
TCGA-AR-A1AT-01,3.5734782,10.693774,1
TCGA-BH-A18P-11,-3.579727,10.125641,4
TCGA-BH-A18V-11,-2.4993742,10.171593,4
TCGA-E2-A158-11,-4.034886,9.78408,4
TCGA-BH-A18G-01,3.9036193,7.9064755,3
TCGA-E2-A15A-01,3.6875625,12.145882,0
TCGA-AR-A1AP-01,2.332402,11.704165,2
TCGA-BH-A1ET-01,1.4311103,14.003781,0
TCGA-E2-A1BC-11,-4.083196,9.535494,4
TCGA-BH-A18P-01,1.9092764,13.40054,0
TCGA-BH-A18M-01,1.7186071,11.621679,2
TCGA-AR-A1AL-01,0.11581345,11.960485,2
TCGA-BH-A18Q-11,-2.3154554,10.111983,4
TCGA-BH-A0DG-01,1.7327187,10.981734,2
TCGA-C8-A1HM-01,4.8504763,11.129398,1
TCGA-BH-A1EO-01,1.5952269,11.119904,2
TCGA-C8-A1HN-01,4.07134,12.68734,0
TCGA-BH-A0BZ-01,3.877789,11.276506,1
TCGA-BH-A18S-11,-3.1154404,9.538565,4
TCGA-BH-A18V-01,3.159438,6.7702346,3
TCGA-E2-A15C-01,1.7309386,12.562206,0
TCGA-E2-A15M-11,-2.89646,9.745635,4
TCGA-C8-A1HL-01,4.0110497,11.5031185,1
TCGA-BH-A1EU-01,0.43175414,10.694493,2
TCGA-A7-A13E-11,-3.7954905,9.782095,4
TCGA-BH-A0AU-11,-2.120115,9.995529,4
TCGA-BH-A0BS-11,-2.2177832,10.242892,4
TCGA-A2-A04W-01,2.119422,10.077827,2
TCGA-AO-A12F-01,4.323198,7.503194,3
TCGA-BH-A0DL-11,-2.686572,10.6908045,4
TCGA-A1-A0SD-01,2.1073804,12.065765,0
TCGA-C8-A12W-01,4.2916145,11.628934,1
TCGA-D8-A142-01,2.7378068,6.3294396,3
TCGA-C8-A12X-01,3.435171,13.506997,0
TCGA-A2-A0CS-01,1.0958233,12.844722,2
TCGA-BH-A0E9-01,-0.40284294,11.263531,2
TCGA-B6-A0WS-01,1.6659302,11.929945,2
TCGA-A7-A0DA-01,2.8765092,5.919748,3
TCGA-E2-A14O-01,3.6185381,12.593202,0
TCGA-E2-A14X-01,2.9407341,6.077222,3
TCGA-D8-A13Y-01,5.1889553,13.462827,0
TCGA-C8-A138-01,4.403166,9.927809,1
TCGA-E2-A15D-01,0.29691023,12.863113,2
TCGA-A2-A0ES-01,-1.8685993,10.897147,4
TCGA-BH-A0BP-01,0.2564192,10.971233,2
TCGA-AR-A0TS-01,2.7727883,6.7556815,3
TCGA-A2-A0EW-01,0.43960813,12.035448,2
TCGA-D8-A143-01,4.3876,6.4606924,3
TCGA-D8-A145-01,-0.2914475,11.4465065,2
TCGA-A2-A0D3-01,0.8962408,14.11429,0
TCGA-A2-A0T3-01,3.1082628,12.973503,0
TCGA-BH-A0AV-01,3.030615,6.3294244,3
TCGA-BH-A0BW-11,-1.5919032,9.895224,4
TCGA-BH-A0B0-01,-0.2296077,11.819362,2
TCGA-E2-A154-01,1.1580291,13.85166,0
TCGA-E2-A159-01,2.5906703,9.075856,1
TCGA-E2-A15F-01,2.54014,11.570351,2
TCGA-D8-A140-01,3.1992657,13.193826,0
TCGA-A2-A0CV-01,-0.06985994,11.73546,2
TCGA-AO-A12A-01,0.23735495,12.449252,2
TCGA-D8-A146-01,0.013246709,11.818274,2
TCGA-A2-A0CW-01,4.4780936,11.885395,1
TCGA-A2-A04N-01,1.4474849,10.787617,2
TCGA-E2-A15S-01,5.0176854,13.890209,0
TCGA-D8-A147-01,3.5918355,6.290557,3
TCGA-E2-A10A-01,2.8202853,13.859767,0
TCGA-BH-A0EI-01,-0.16213654,11.523613,2
TCGA-BH-A0DE-01,1.4811885,11.566794,2
TCGA-C8-A137-01,3.435135,10.480003,1
TCGA-B6-A0RH-01,2.9931428,11.09081,1
TCGA-BH-A0BW-01,2.5545714,6.7531343,3
TCGA-BH-A0BG-01,2.933895,6.4238615,3
TCGA-C8-A12O-01,3.07292,10.731989,1
TCGA-BH-A0H5-11,-2.0799625,9.845491,4
TCGA-BH-A0DL-01,3.094953,7.4377956,3
TCGA-BH-A0DX-01,1.5265371,10.179158,2
TCGA-B6-A0RQ-01,-2.1013103,10.804457,4
TCGA-E2-A15P-01,0.7753927,12.705984,0
TCGA-BH-A0H5-01,0.93701464,9.855874,2
TCGA-AO-A03V-01,0.15507333,11.866176,2
TCGA-BH-A0EA-01,-0.28900704,11.79642,2
TCGA-C8-A130-01,3.8731728,11.59644,1
TCGA-E2-A15T-01,4.7711344,13.664541,0
TCGA-E2-A15O-01,4.7618146,13.857729,0
TCGA-BH-A0B7-01,2.2055678,9.724197,1
TCGA-AO-A12D-01,2.0342088,9.731958,1
TCGA-A2-A0CL-01,1.8035907,9.176919,2
TCGA-BH-A0C7-01,4.265852,12.973611,0
TCGA-C8-A12U-01,4.6666183,12.520561,0
TCGA-A2-A04U-01,4.3036637,6.7188396,3
TCGA-C8-A12V-01,2.276971,7.566167,3
TCGA-BH-A0BQ-11,-2.468547,10.136317,4
TCGA-C8-A12L-01,2.9766,9.176679,3
TCGA-C8-A134-01,3.119681,6.3858733,3
TCGA-BH-A0B7-11,-1.9429605,10.151662,4
TCGA-BH-A0W7-01,1.1804844,10.36676,2
TCGA-D8-A13Z-01,2.6679254,9.493926,1
TCGA-C8-A12N-01,1.9486324,12.8403,0
TCGA-C8-A12P-01,3.012782,10.029127,1
TCGA-BH-A0BR-01,1.9144765,10.114907,2
TCGA-E2-A14Z-01,1.1888533,10.419855,2
TCGA-E2-A15R-01,4.7330956,14.071956,0
TCGA-AR-A0TY-01,4.071785,11.987705,1
TCGA-BH-A0BQ-01,0.21701586,11.559648,2
TCGA-C8-A132-01,1.4678038,10.0838785,2
TCGA-BH-A0BL-01,3.0557184,7.0897956,3
TCGA-C8-A12Q-01,2.4202101,9.935418,1
TCGA-B6-A0X0-01,1.0327256,14.029768,0
TCGA-C8-A12T-01,1.7352645,10.057551,2
TCGA-C8-A12K-01,2.8810978,7.120216,3
TCGA-C8-A131-01,3.9302332,8.749973,3
TCGA-C8-A12M-01,4.5861874,13.895853,0
TCGA-E2-A14T-01,4.504724,13.329718,0
TCGA-C8-A135-01,3.004703,9.804717,1
TCGA-B6-A0IH-01,-0.0147677185,10.961993,2
TCGA-AR-A0U1-01,3.9265032,8.28038,3
TCGA-D8-A141-01,0.7247158,11.03888,2
TCGA-C8-A12Z-01,3.227082,10.505259,1
TCGA-E2-A14R-01,3.5127397,6.7584534,3
TCGA-AO-A12H-01,3.1477938,14.338071,0
TCGA-AN-A0AL-01,3.6292841,7.7406583,3
TCGA-A8-A0A6-01,0.84324944,11.706521,2
TCGA-BH-A0DS-01,0.44881466,12.29095,2
TCGA-AO-A0JM-01,3.6447382,11.064018,1
TCGA-BH-A0GZ-01,2.2446892,13.608646,0
TCGA-AO-A0JL-01,4.300484,8.13986,3
TCGA-BH-A0H0-01,4.223984,14.2492285,0
TCGA-B6-A0IK-01,3.8835404,10.553371,1
TCGA-B6-A0RE-01,4.168715,6.8328056,3
TCGA-A2-A0CT-01,3.7358875,13.76529,0
TCGA-B6-A0RI-01,2.295069,13.077224,0
TCGA-BH-A0DP-01,0.75830775,12.097648,2
TCGA-AO-A0JD-01,4.436035,12.490803,0
TCGA-BH-A0E0-01,4.155101,7.073759,3
TCGA-AO-A0JC-01,2.2735138,8.388245,3
TCGA-BH-A0HF-01,1.2407097,11.825568,2
TCGA-AO-A0JA-01,2.5354009,11.152366,2
TCGA-BH-A0E2-01,2.8508682,12.18008,1
TCGA-BH-A0B9-01,3.624461,6.3056197,3
TCGA-AO-A0JB-01,4.452205,8.752234,3
TCGA-BH-A0HY-01,3.5585504,10.942657,1
TCGA-BH-A0HX-01,3.6011162,12.557015,1
TCGA-BH-A0B1-01,3.4978662,12.645731,0
TCGA-AO-A03L-01,3.9419951,11.419022,1
TCGA-BH-A0E1-01,2.0231056,14.211123,0
TCGA-BH-A0B8-01,3.6028602,14.084805,0
TCGA-AO-A0JJ-01,0.8287574,11.74617,2
TCGA-BH-A0AW-01,3.860876,9.889085,1
TCGA-BH-A0H6-01,2.2818787,13.144243,0
TCGA-AO-A0JF-01,0.38504085,10.8452835,2
TCGA-A7-A0D9-01,3.8338494,13.911873,0
TCGA-BH-A0HB-01,3.2888641,11.899647,1
TCGA-AO-A0JI-01,3.8599808,14.171127,0
TCGA-AO-A0JE-01,3.208757,10.035325,1
TCGA-B6-A0RG-01,3.7711709,13.106953,0
TCGA-A8-A0AD-01,1.820724,13.197861,0
TCGA-BH-A0BM-01,1.2628424,12.323079,2
TCGA-BH-A0GY-01,3.808769,11.769556,1
TCGA-BH-A0H7-01,3.573559,11.987856,1
TCGA-BH-A0BJ-01,0.7869273,11.845942,2
TCGA-A2-A0EU-01,3.509558,14.141661,0
TCGA-A8-A08O-01,2.3788297,12.786269,0
TCGA-BH-A0BA-01,1.1845042,12.397789,2
TCGA-BH-A0DK-01,1.2561494,11.090348,2
TCGA-BH-A0H9-01,3.7621439,12.867255,0
TCGA-BH-A0HK-01,1.0285269,12.14134,2
TCGA-BH-A0C0-01,4.920547,10.738364,1
TCGA-BH-A0B3-01,3.1915894,7.1210814,3
TCGA-AR-A0TX-01,2.4427638,9.808069,1
TCGA-BH-A0BC-11,-2.6661932,9.452273,4
TCGA-AR-A0TW-01,4.341385,11.844462,0
TCGA-A1-A0SP-01,3.7445807,6.2379026,3
TCGA-BH-A0C0-11,-2.2209792,10.809159,4
TCGA-AR-A0TP-01,3.2682562,5.800329,3
TCGA-B6-A0RP-01,1.6556563,13.159021,0
TCGA-A7-A0D9-11,-4.0025325,9.678999,4
TCGA-B6-A0RM-01,3.7523663,14.4914255,0
TCGA-AR-A0TV-01,4.209398,13.773373,0
TCGA-AR-A0TR-01,2.9452503,14.862497,0
TCGA-BH-A0DH-11,-2.8348255,9.519084,4
TCGA-BH-A0DZ-11,-1.82234,11.177185,4
TCGA-A2-A0T6-01,0.34528738,10.817519,2
TCGA-A2-A0SX-01,2.577294,6.794331,3
TCGA-BH-A0HI-01,1.7859731,14.014664,0
TCGA-BH-A0HK-11,-2.580002,10.814601,4
TCGA-A2-A0T2-01,4.2713566,7.2614994,3
TCGA-AR-A0TT-01,2.4338706,9.410836,1
TCGA-AR-A0TQ-01,4.6968937,11.823299,1
TCGA-A2-A0T4-01,0.30703765,11.005594,2
